Date,Open,High,Low,Close,Volume,Adj Close
2011-03-21,935.14,981.01,935.14,975.35,34754000,975.35
2011-03-14,973.78,975.00,918.90,935.14,47090000,935.14
2011-03-07,996.75,1001.03,963.63,973.78,41242000,973.78
2011-02-28,996.88,1005.11,981.23,996.75,38414000,996.75
2011-02-22,1021.67,1021.67,974.93,996.88,41457500,996.88
2011-02-14,1018.15,1024.28,1011.32,1021.67,35530000,1021.67
2011-02-07,1017.00,1029.58,1011.32,1018.15,36858000,1018.15
2011-01-31,987.72,1017.00,983.54,1017.00,35446000,1017.00
2011-01-24,986.47,1016.60,983.92,987.72,37292000,987.72
2011-01-18,1001.31,1007.99,984.06,986.47,38917500,986.47
2011-01-10,983.18,1001.31,977.05,1001.31,35846000,1001.31
2011-01-03,956.49,1062.16,956.49,983.18,39608000,983.18
2010-12-27,958.03,963.40,951.63,956.49,25876000,956.49
2010-12-20,950.52,960.54,946.70,958.03,26902500,958.03
2010-12-13,946.88,954.38,940.56,950.52,35838000,950.52
2010-12-06,932.85,947.56,932.05,946.88,30326000,946.88
2010-11-29,917.25,933.28,898.35,932.85,31560000,932.85
2010-11-22,916.02,923.33,902.59,917.25,23177500,917.25
2010-11-15,922.58,927.14,894.91,915.95,29724000,915.95
2010-11-08,953.51,963.03,916.85,922.58,34110000,922.58
2010-11-01,925.08,956.40,924.43,953.51,30838000,953.51
2010-10-25,919.55,933.59,912.46,925.08,27464000,925.08
2010-10-18,919.69,926.98,901.56,919.55,29648000,919.55
2010-10-11,880.43,919.69,874.42,919.69,31142000,919.69
2010-10-04,864.56,882.02,850.50,880.43,27860000,880.43
2010-09-27,872.87,878.91,859.02,864.56,28158000,864.56
2010-09-20,850.04,873.22,850.02,872.87,25756000,872.87
2010-09-13,813.65,852.43,813.65,850.04,28292000,850.04
2010-09-07,811.90,819.47,805.04,813.65,22037500,813.65
2010-08-30,785.47,811.79,767.77,811.69,22266000,811.69
2010-08-23,805.59,811.75,768.97,785.47,23656000,785.47
2010-08-16,805.48,824.41,799.68,805.59,20558000,805.59
2010-08-09,855.64,859.03,802.14,805.48,20480000,805.48
2010-08-02,841.64,863.86,841.64,855.64,19648000,855.64
2010-07-26,855.48,863.91,833.51,841.64,21190000,841.64
2010-07-19,828.96,855.66,817.53,855.48,18160000,855.48
2010-07-12,826.23,857.50,826.17,828.96,11854000,828.96
2010-07-06,781.87,826.47,781.87,826.23,11337500,826.23
2010-06-28,828.03,837.14,772.05,781.87,14114000,781.87
2010-06-21,869.63,879.48,826.70,828.03,50338000,828.03
2010-06-14,839.48,873.68,837.36,869.63,15480000,869.63
2010-06-07,836.54,840.88,808.09,839.48,12052000,839.48
2010-06-01,840.93,864.85,832.11,836.54,11867500,836.54
2010-05-24,833.53,848.67,803.00,840.93,15110000,840.93
2010-05-17,878.09,885.81,810.54,833.53,17932000,833.53
2010-05-10,847.99,909.84,847.99,878.09,18026000,878.09
2010-05-03,918.01,934.73,800.75,847.99,20004000,847.99
2010-04-26,948.36,950.32,918.01,918.01,16936000,918.01
2010-04-19,929.55,949.05,921.21,948.36,16650000,948.36
2010-04-12,917.95,945.84,917.36,929.55,21522000,929.55
2010-04-05,899.98,918.45,899.41,917.95,19886000,917.95
2010-03-29,902.41,909.80,892.32,899.98,15407500,899.98
2010-03-22,890.08,915.38,884.45,902.41,15378000,902.41
2010-03-15,889.94,902.15,879.29,890.08,16240000,890.08
2010-03-08,873.62,892.87,873.36,889.94,18126000,889.94
2010-03-01,848.66,875.27,848.66,873.62,18734000,873.62
2010-02-22,853.30,856.96,832.94,848.66,13214000,848.66
2010-02-16,832.90,857.96,832.90,853.30,14985000,853.30
2010-02-08,822.33,836.13,817.60,832.90,13872000,832.90
2010-02-01,812.57,836.32,808.74,822.33,15428000,822.33
2010-01-25,841.25,860.22,807.89,812.57,13908000,812.57
2010-01-19,887.14,901.68,839.87,841.25,16707500,841.25
2010-01-11,895.27,901.01,876.40,887.14,17510000,887.14
2010-01-04,889.12,905.85,884.32,895.27,17726000,895.27
2009-12-28,894.69,900.72,888.98,889.07,17007500,889.07
2009-12-21,865.94,894.80,865.94,894.69,11382500,894.69
2009-12-14,856.61,866.95,764.60,865.94,22878000,865.94
2009-12-07,857.74,862.39,841.21,856.61,13476000,856.61
2009-11-30,838.10,866.91,835.97,857.74,19678000,857.74
2009-11-23,845.55,861.51,832.01,841.54,12665000,841.54
2009-11-16,854.16,867.67,842.67,845.55,15770000,845.55
2009-11-09,826.38,856.00,826.38,854.16,15214000,854.16
2009-11-02,804.71,828.76,796.42,826.38,16708000,826.38
2009-10-26,833.00,845.60,802.36,804.71,20152000,804.71
2009-10-19,818.74,848.64,817.08,833.00,23368000,833.00
2009-10-12,810.60,826.68,807.63,818.74,24348000,818.74
2009-10-05,774.26,811.43,771.40,810.60,22044000,810.60
2009-09-28,785.84,804.50,769.97,774.26,20652000,774.26
2009-09-21,794.53,809.50,784.11,785.84,23120000,785.84
2009-09-14,780.14,798.88,775.01,794.53,34894000,794.53
2009-09-08,761.97,783.77,761.97,780.14,26872500,780.14
2009-08-31,765.98,768.75,742.50,761.97,27820000,761.97
2009-08-24,759.46,780.24,750.66,765.98,19884000,765.98
2009-08-17,746.54,759.63,727.01,759.46,22882000,759.46
2009-08-10,744.52,752.74,731.63,746.54,19036000,746.54
2009-08-03,740.27,752.53,735.18,744.52,17372000,744.52
2009-07-27,739.18,753.33,656.92,740.28,17916000,740.28
2009-07-20,718.04,749.35,717.47,739.18,12640000,739.18
2009-07-13,656.55,718.14,650.58,718.04,11024000,718.04
2009-07-06,668.00,668.00,601.11,656.55,11044000,656.55
2009-06-29,678.71,692.64,667.46,668.00,13670000,668.00
2009-06-22,677.39,681.41,601.64,678.71,38308000,678.71
2009-06-15,682.04,682.04,662.28,677.39,19470000,677.39
2009-06-08,676.58,689.80,664.30,682.04,19012000,682.04
2009-06-01,644.90,680.77,644.90,676.58,21486000,676.58
2009-05-26,612.88,645.10,608.64,644.90,18000000,644.90
2009-05-18,614.70,639.65,608.22,612.88,16064000,612.88
2009-05-11,621.82,630.27,607.27,614.70,20228000,614.70
2009-05-04,635.88,645.79,612.29,621.82,18524000,621.82
2009-04-27,627.41,647.32,613.81,635.88,15190000,635.88
2009-04-20,616.57,630.42,556.88,627.41,13106000,627.41
2009-04-13,609.69,620.98,587.80,616.57,13212000,616.57
2009-04-06,602.72,611.24,579.78,609.69,12377500,609.69
2009-03-30,569.79,607.85,546.48,602.72,14546000,602.72
2009-03-23,539.17,586.59,539.17,569.79,13894000,569.79
2009-03-16,524.59,555.71,515.61,539.17,12906000,539.17
2009-03-09,479.60,526.59,465.52,524.59,10294000,524.59
2009-03-02,506.34,509.58,469.39,479.60,11718000,479.60
2009-02-23,524.19,526.43,500.00,506.34,12936000,506.34
2009-02-17,563.59,563.59,516.21,524.19,12527500,524.19
2009-02-09,581.89,585.75,547.35,563.59,11298000,563.59
2009-02-02,529.50,584.16,523.68,581.89,10930000,581.89
2009-01-26,529.94,566.14,528.47,529.50,11054000,529.50
2009-01-20,534.54,537.97,506.14,529.94,11382500,529.94
2009-01-12,552.66,553.85,513.14,534.54,11986000,534.54
2009-01-05,565.20,588.17,550.96,552.66,14498000,552.66
2008-12-29,530.66,566.29,520.09,565.20,17232500,565.20
2008-12-22,543.67,544.31,523.14,530.66,14040000,530.66
2008-12-15,548.88,565.04,532.80,543.67,25198000,543.67
2008-12-08,525.68,569.75,525.68,548.88,16658000,548.88
2008-12-01,536.77,536.77,491.73,525.68,13766000,525.68
2008-11-24,499.59,537.56,499.59,536.77,14882500,536.77
2008-11-17,528.76,531.64,468.44,499.59,22502000,499.59
2008-11-10,571.77,580.65,494.80,528.76,18656000,528.76
2008-11-03,607.14,625.56,555.65,571.77,24850000,571.77
2008-10-27,554.56,618.68,539.06,607.14,37874000,607.14
2008-10-20,606.59,627.67,534.20,554.56,37834000,554.56
2008-10-13,576.43,669.06,551.25,606.59,49054000,606.59
2008-10-06,677.56,677.56,548.59,576.43,68138000,576.43
2008-09-29,757.13,757.13,677.07,677.56,47266000,677.56
2008-09-22,758.99,763.85,729.91,757.13,43248000,757.13
2008-09-15,774.20,774.20,704.13,758.99,75352000,758.99
2008-09-08,766.90,782.09,747.73,774.20,40756000,774.20
2008-09-02,816.97,831.48,759.24,766.89,31950000,766.89
2008-08-25,843.28,843.28,816.17,816.97,25262000,816.97
2008-08-18,852.00,853.18,820.92,843.28,27874000,843.28
2008-08-11,846.30,858.63,840.86,852.00,36422000,852.00
2008-08-04,792.32,846.80,789.97,846.30,33684000,846.30
2008-07-28,798.29,809.78,778.41,792.32,33872000,792.32
2008-07-21,801.36,816.20,777.89,798.29,39746000,798.29
2008-07-14,792.88,823.59,770.35,801.36,44120000,801.36
2008-07-07,803.89,822.05,735.41,792.88,44270000,792.88
2008-06-30,819.65,823.05,794.68,803.89,42762500,803.89
2008-06-23,847.34,863.09,808.51,819.65,35622000,819.65
2008-06-16,873.99,882.24,844.49,847.34,34348000,847.34
2008-06-09,874.60,879.31,848.31,873.99,35730000,873.99
2008-06-02,891.59,900.97,870.82,874.60,36662000,874.60
2008-05-27,860.40,896.87,860.40,891.56,32385000,891.56
2008-05-19,898.44,905.70,855.66,860.40,37756000,860.40
2008-05-12,868.55,902.06,868.13,898.44,29856000,898.44
2008-05-05,874.72,886.76,863.69,868.55,28934000,868.55
2008-04-28,853.25,881.00,845.78,874.72,37846000,874.72
2008-04-21,849.83,876.66,844.00,853.25,30280000,853.25
2008-04-14,793.20,853.04,782.26,849.22,33534000,849.22
2008-04-07,815.87,824.25,791.82,793.20,32444000,793.20
2008-03-31,784.55,823.36,783.25,815.87,38850000,815.87
2008-03-24,797.07,823.09,782.85,784.55,38130000,784.55
2008-03-17,777.55,807.54,763.20,797.07,55152500,797.07
2008-03-10,775.00,806.97,769.06,777.55,47884000,777.55
2008-03-03,781.92,790.67,764.07,775.00,47778000,775.00
2008-02-25,784.42,806.66,778.83,781.92,45938000,781.92
2008-02-19,788.40,803.45,770.48,784.42,37880000,784.42
2008-02-11,780.82,809.29,780.49,788.40,38052000,788.40
2008-02-04,824.08,824.08,759.58,780.82,41040000,780.82
2008-01-28,815.36,830.59,791.72,824.08,47760000,824.08
2008-01-22,839.17,853.72,764.09,815.36,61812500,815.36
2008-01-14,867.50,893.40,832.30,839.17,59210000,839.17
2008-01-07,893.03,896.39,859.26,867.50,50036000,867.50
2007-12-31,966.95,966.95,891.87,893.03,43535000,893.03
2007-12-24,970.43,983.12,960.26,966.95,34917500,966.95
2007-12-17,953.26,970.50,924.27,970.37,52626000,970.37
2007-12-10,964.19,977.39,946.30,953.26,47048000,953.26
2007-12-03,937.71,967.39,921.43,964.19,45146000,964.19
2007-11-26,927.05,954.21,902.74,937.71,47530000,937.71
2007-11-19,934.11,940.21,910.74,927.05,44767500,927.05
2007-11-12,922.27,955.67,907.54,934.11,53290000,934.11
2007-11-05,1017.94,1027.93,921.50,922.27,55218000,922.27
2007-10-29,993.54,1024.47,993.54,1017.94,48574000,1017.94
2007-10-22,950.34,998.61,943.11,993.54,48792000,993.54
2007-10-15,965.02,975.85,949.57,950.34,43370000,950.34
2007-10-08,945.85,978.48,944.19,965.02,39978000,965.02
2007-10-01,932.53,948.06,927.91,945.85,38174000,945.85
2007-09-24,917.95,939.28,917.95,932.53,35910000,932.53
2007-09-17,891.46,921.50,885.35,917.95,41738000,917.95
2007-09-10,887.07,904.50,881.89,891.46,33626000,891.46
2007-09-04,896.89,918.08,883.45,887.07,38970000,887.07
2007-08-27,882.75,899.47,858.04,896.89,36550000,896.89
2007-08-20,853.29,882.75,847.25,882.75,36460000,882.75
2007-08-13,869.75,879.58,817.49,853.29,65210000,853.29
2007-08-06,865.24,896.36,855.09,869.75,61058000,869.75
2007-07-30,878.98,889.37,861.50,865.24,52420000,865.24
2007-07-23,911.91,920.30,878.98,878.98,52448000,878.98
2007-07-16,905.31,925.86,899.83,911.91,42020000,911.91
2007-07-09,889.86,905.87,880.80,905.31,43622000,905.31
2007-07-02,865.62,891.12,865.62,889.86,35540000,889.86
2007-06-25,860.80,874.44,854.76,865.62,50518000,865.62
2007-06-18,867.89,875.03,860.22,860.80,50886000,860.80
2007-06-11,852.22,869.07,841.21,867.88,48464000,867.88
2007-06-04,859.60,863.62,839.16,852.22,49194000,852.22
2007-05-29,842.86,866.30,840.15,859.60,43917500,859.60
2007-05-21,848.98,855.74,830.62,842.86,44480000,842.86
2007-05-14,846.53,849.08,834.76,848.98,47032000,848.98
2007-05-07,838.12,846.88,835.15,846.53,42888000,846.53
